policy_id,customer_age,vehicle_age,annual_mileage,base_rate,current_premium,risk_segment,age_group
POL-000001,46,8,10200,791.6,802.26,low,>40
POL-000002,66,8,8900,906.49,908.04,low,>40
POL-000003,24,8,14600,1079.15,2416.38,high,<25
POL-000004,69,2,9000,851.44,1067.11,low,>40
POL-000005,67,6,19400,917.75,1525.58,medium,>40
POL-000006,33,8,17600,908.97,1378.92,medium,25-40
POL-000007,71,7,9600,794.21,913.08,low,>40
POL-000008,53,6,14900,941.93,1123.55,low,>40
POL-000009,46,4,9500,949.66,967.35,low,>40
POL-000010,23,8,6600,1090.42,1457.31,low,<25
POL-000011,45,9,10300,845.07,880.04,low,>40
POL-000012,52,5,13200,857.71,995.39,low,>40
POL-000013,65,12,17100,930.13,1454.39,medium,>40
POL-000014,60,17,14400,990.95,1407.41,medium,>40
POL-000015,37,7,20300,980.2,1631.52,medium,25-40
POL-000016,23,4,8700,986.67,1661.08,medium,<25
POL-000017,46,2,11400,1070.69,1448.86,low,>40
POL-000018,61,5,28300,847.39,1667.1,medium,>40
POL-000019,53,6,5700,958.16,612.01,low,>40
POL-000020,33,2,11000,906.13,1257.94,low,25-40
POL-000021,32,5,8300,840.8,823.71,low,25-40
POL-000022,43,12,12400,925.46,1087.29,low,>40
POL-000023,19,1,11100,978.22,3122.36,high,<25
POL-000024,45,7,17700,961.97,1394.96,medium,>40
POL-000025,18,4,15100,1119.14,3697.63,high,<25
POL-000026,42,6,7500,904.72,750.79,low,>40
POL-000027,68,17,10400,851.95,1113.32,low,>40
POL-000028,48,6,13500,916.52,1114.49,low,>40
POL-000029,29,6,18800,1156.93,2355.38,medium,25-40
POL-000030,49,10,30000,967.88,2019.37,high,>40
POL-000031,46,8,18500,1071.79,1599.51,medium,>40
POL-000032,46,7,8600,823.46,746.94,low,>40
POL-000033,46,8,12900,857.86,1012.78,low,>40
POL-000034,37,14,14600,854.67,1269.11,medium,25-40
POL-000035,70,12,10700,1080.39,1360.9,low,>40
POL-000036,71,5,16700,918.95,1593.8,medium,>40
POL-000037,63,17,5000,917.1,654.91,low,>40
POL-000038,37,4,17300,974.34,1538.59,medium,25-40
POL-000039,75,7,10900,1082.0,1350.99,low,>40
POL-000040,36,8,12800,1071.23,1321.22,low,25-40
POL-000041,34,5,26100,939.58,1938.35,high,25-40
POL-000042,62,15,7700,994.35,881.38,low,>40
POL-000043,75,5,15300,1098.53,1799.85,medium,>40
POL-000044,23,6,19300,971.3,2607.48,high,<25
POL-000045,70,13,14600,790.8,1319.65,medium,>40
POL-000046,39,5,6500,961.51,803.58,low,25-40
POL-000047,42,2,24800,957.71,2147.84,high,>40
POL-000048,61,7,12300,988.4,1074.76,low,>40
POL-000049,56,3,10600,970.57,976.69,low,>40
POL-000050,20,3,11700,913.97,2238.54,high,<25
POL-000051,62,1,11400,940.96,1209.65,low,>40
POL-000052,36,1,7900,902.55,1010.4,low,25-40
POL-000053,50,1,14500,798.76,1162.7,medium,>40
POL-000054,19,18,10300,994.78,2870.74,high,<25
POL-000055,69,1,18300,816.37,1622.85,medium,>40
POL-000056,18,3,17000,1161.17,4143.73,high,<25
POL-000057,30,6,28100,780.95,1605.79,high,25-40
POL-000058,51,10,12300,851.16,915.17,low,>40
POL-000059,32,11,9400,1163.61,1198.93,low,25-40
POL-000060,66,4,7000,832.58,751.03,low,>40
POL-000061,62,7,30000,913.54,1773.36,medium,>40
POL-000062,33,6,18200,985.72,1528.29,medium,25-40
POL-000063,44,7,9900,1164.78,1157.77,low,>40
POL-000064,64,7,28900,795.49,1507.16,medium,>40
POL-000065,37,9,24900,856.09,1661.51,medium,25-40
POL-000066,22,4,7300,986.2,1481.34,medium,<25
POL-000067,67,14,9600,1086.95,1264.13,low,>40
POL-000068,23,5,12700,1108.11,2385.54,high,<25
POL-000069,65,20,8300,806.61,910.33,low,>40
POL-000070,61,4,12900,819.85,967.91,low,>40
POL-000071,26,7,18600,986.96,1995.42,medium,25-40
POL-000072,23,6,7300,985.56,1406.36,medium,<25
POL-000073,32,7,15400,793.41,1103.55,low,25-40
POL-000074,62,13,22800,1125.73,2020.68,medium,>40
POL-000075,37,6,16200,822.79,1182.71,medium,25-40
POL-000076,29,3,13000,1114.44,1879.09,medium,25-40
POL-000077,32,4,10000,837.61,926.24,low,25-40
POL-000078,71,6,19600,1136.35,2077.67,medium,>40
POL-000079,23,7,7900,928.64,1394.95,medium,<25
POL-000080,43,4,15100,807.55,1111.73,low,>40
POL-000081,39,4,13700,1163.5,1578.76,low,25-40
POL-000082,66,8,22400,805.71,1470.55,medium,>40
POL-000083,30,8,10400,1113.74,1200.22,low,25-40
POL-000084,61,12,10800,994.93,1015.09,low,>40
POL-000085,40,4,7700,1160.02,1030.81,low,25-40
POL-000086,18,9,16400,1142.28,3862.75,high,<25
POL-000087,47,6,11200,803.93,865.82,low,>40
POL-000088,27,5,9200,962.23,1295.89,low,25-40
POL-000089,64,6,9600,963.49,891.79,low,>40
POL-000090,53,7,17200,812.75,1064.28,low,>40
POL-000091,29,2,8200,905.93,1335.93,medium,25-40
POL-000092,35,2,8600,809.06,957.13,low,25-40
POL-000093,19,10,20200,1120.91,4340.35,high,<25
POL-000094,24,5,12500,992.76,2115.28,high,<25
POL-000095,36,7,20800,838.65,1418.17,medium,25-40
POL-000096,37,10,11500,1076.09,1264.03,low,25-40
POL-000097,20,6,13500,1097.76,2803.24,high,<25
POL-000098,51,9,14500,821.78,983.33,low,>40
POL-000099,38,7,25200,815.99,1563.15,medium,25-40
POL-000100,22,7,24300,1064.57,3319.5,high,<25
POL-000101,39,14,22700,855.68,1692.78,medium,25-40
POL-000102,60,6,10200,988.38,951.6,low,>40
POL-000103,35,10,8700,1167.46,1143.89,low,25-40
POL-000104,43,2,19000,943.21,1778.99,medium,>40
POL-000105,39,7,25100,981.67,1875.68,medium,25-40
POL-000106,53,16,22800,837.1,1455.14,medium,>40
POL-000107,50,20,13600,820.96,1087.98,low,>40
POL-000108,41,2,18700,909.83,1698.37,medium,>40
POL-000109,42,5,18900,792.76,1262.8,medium,>40
POL-000110,36,3,14400,1090.68,1528.68,low,25-40
POL-000111,71,6,14700,987.61,1497.75,medium,>40
POL-000112,54,11,14100,833.56,979.45,low,>40
POL-000113,40,14,9500,995.89,1065.16,low,25-40
POL-000114,37,14,9900,956.31,1103.15,low,25-40
POL-000115,18,2,9800,910.55,2680.32,high,<25
POL-000116,71,7,6600,947.89,854.2,low,>40
POL-000117,30,4,14400,788.17,1104.68,low,25-40
POL-000118,47,6,13300,852.91,1027.13,low,>40
POL-000119,50,5,19000,801.83,1179.11,medium,>40
